site_id,month,avg_days_over_0,avg_days_over_10,avg_days_over_20,avg_days_over_30,avg_days_over_40,avg_days_over_50,avg_days_over_60,avg_days_over_70,avg_days_over_80,avg_days_over_90,avg_days_over_100
1,1,8.8,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,9.2,0.6,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
1,3,13.4,3.2,1.4,1.2,1.0,1.0,0.6,0.4,0.4,0.4,0.4
1,4,16.8,6.6,5.2,4.2,3.6,3.0,2.2,2.0,1.4,1.2,1.0
1,5,19.0,8.6,7.2,5.4,3.4,2.8,2.6,2.4,2.2,2.0,1.8
1,6,21.0,6.8,5.6,5.0,4.4,3.4,3.0,2.8,2.4,2.0,1.4
1,7,22.4,13.2,11.2,9.4,8.2,6.4,5.0,3.8,2.8,2.0,2.0
1,8,17.0,8.6,5.8,4.4,3.2,2.4,1.8,1.8,1.6,1.4,1.4
1,9,19.6,7.6,4.6,3.0,2.0,1.6,1.2,1.0,0.8,0.6,0.6
1,10,13.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11,10.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,7.2,3.6,1.8,1.4,0.8,0.8,0.6,0.6,0.6,0.4,0.4
2,4,8.4,6.0,4.4,3.6,3.2,2.4,1.6,1.2,1.2,1.2,1.0
2,5,12.6,8.0,6.6,5.8,4.4,3.8,2.2,1.6,1.0,0.8,0.2
2,6,15.6,12.2,9.8,8.2,6.6,5.8,5.0,3.8,3.6,3.4,3.2
2,7,17.2,9.2,7.4,5.8,4.6,4.2,3.6,2.8,2.8,2.6,2.2
2,8,15.4,8.8,6.2,4.6,3.2,1.8,1.6,1.4,0.8,0.4,0.4
2,9,12.2,5.4,1.2,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0
2,10,4.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,11,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,12,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,1.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,6.6,4.2,2.8,2.2,1.2,0.6,0.6,0.2,0.2,0.2,0.2
3,4,7.2,5.4,4.2,3.2,2.4,2.2,2.2,2.0,1.8,1.2,1.2
3,5,8.4,5.6,5.2,5.0,5.0,4.2,3.8,3.2,2.6,2.2,2.2
3,6,11.0,8.2,7.0,5.4,5.2,5.0,4.0,3.8,3.4,3.2,2.6
3,7,14.2,10.2,8.6,8.0,7.4,6.2,5.6,4.8,4.6,4.4,4.0
3,8,11.8,8.6,7.2,6.0,5.6,4.8,4.6,3.8,3.2,2.8,2.8
3,9,8.8,5.4,3.4,2.6,2.0,1.8,1.6,1.0,0.4,0.4,0.2
3,10,6.0,1.8,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,11,2.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,12,1.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,4.4,2.6,1.4,1.0,0.6,0.4,0.2,0.2,0.2,0.2,0.2
4,4,6.0,3.4,2.8,2.4,2.2,2.0,1.8,1.8,1.6,1.4,1.4
4,5,6.4,5.2,4.2,3.6,3.4,2.8,2.4,2.2,2.2,1.6,1.4
4,6,9.6,7.2,5.2,5.0,5.0,4.6,4.4,3.4,3.0,2.4,2.2
4,7,10.8,8.4,7.2,5.6,4.8,4.2,4.2,4.0,3.4,2.8,2.6
4,8,12.2,9.0,5.8,5.0,4.2,4.0,4.0,3.4,3.4,3.4,3.2
4,9,9.6,5.4,3.0,2.2,1.8,1.4,1.0,0.8,0.8,0.2,0.2
4,10,6.8,1.0,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,2.4,1.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,5.0,3.6,2.6,1.6,1.2,0.6,0.2,0.2,0.2,0.2,0.2
5,4,7.4,6.2,5.0,4.2,3.4,3.2,2.8,1.6,1.2,1.0,1.0
5,5,8.4,6.0,5.0,4.0,3.2,2.8,2.2,2.2,2.0,1.6,1.4
