site_id,alias
22,Mokropsy
38,Unterberghorn
44,Kreuzjoch
72,Ostrý
72,Velký Ostrý
72,Großer Osser
74,Osterfelderkopf
82,Fiescheralp
82,Heimat
82,Kühboden
85,Beatenberg
85,Beatenberg Amisbühl
86,First
86,Grindelwald First
101,Rotenflue
103,Obere Wängi
104,Laax
104,Laax Crap Sogn Gion
111,Tschentenalp
114,Emmetten Niederbauen
131,Davos Jakobshorn
134,Suello
134,Cornizzolo Suello
137,Monte Cuarnan
137,Cuarnan
140,Campitello
140,Campitello di Fassa
141,Sasso del Ferro
142,Monte Avena
150,Monte San Giorgio
151,Monte Belpo
151,Il Gas
155,Plan de Corones
158,Tivoli
163,Malcesine
163,Malcesine Monte Baldo
172,Cecima
182,Tolmin
182,Tolmin Kobala
183,Nova Gorica
183,Nova Gorica Lijak
184,Kobarid
184,Kobarid Stol
185,Annecy Forclaz
185,Annecy Col de la Forclaz
186,Saint-Hilaire-du-Touvet
187,Saint-André-les-Alpes
187,Le Chalvet
187,Chalvet
188,Annecy Planfait
188,Talloires Planfait
190,Le Treh
190,Markstein
190,Treh Markstein
191,Chamonix Planpraz
194,Passy
194,Passy Plaine-Joux
195,Le Grand-Bornand
197,Puncho d'Agast
197,Pouncho d'Agast
198,Laragne
198,Laragne-Chabre
199,Saint Jean Montclar
199,Saint-Jean-Montclar
199,Montclar
199,Montclar-le-lac
201,Saint-Vincent-les-Forts
206,Clécy
206,Clécy Saint-Omer
207,Cheiron
211,Annecy Semnoz
213,Allevard
216,Pic des Mauroux
216,Targasonne
216,Targasonne Mauroux
221,Algodonales Poniente
221,Sierra de Líjar
223,Piedrahita
223,Puerto de Peña Negra
233,Orozko
233,Santa Marina de Orozko
233,Arrola
235,Puig de Sant Martí
242,Hármashatár-hegy
242,HHH
243,Mókus-hegy
245,Öregkovács-hegy
246,Nagy-Eged-hegy
246,Nagy-Eged
247,Orond
247,Csóka-hegy
249,Sár-hegy
250,Gorba-tető
250,Tardosbánya
133,Monte Grappa
133,Bassano del Grappa
135,Monte Valinis
135,Valinis
