site_id,name,latitude,longitude,altitude,lat_gfs,lon_gfs
1,Raná,50.406433,13.77073,420,50.5,13.75
2,Javorový,49.628864,18.627232,930,49.75,18.75
3,Kozákov,50.593203,15.263132,743,50.5,15.25
4,Černá hora,50.649413,15.739908,1245,50.75,15.75
5,Krupka,50.696461,13.876743,646,50.75,14.0
6,Svatobor,49.234349,13.49169,810,49.25,13.5
7,Skalka,49.554097,18.299208,933,49.5,18.25
8,Doubrava,49.432843,13.202711,704,49.5,13.25
9,Uhřínov,49.5775,17.6647,431,49.5,17.75
10,Jeviněves,50.338229,14.323352,258,50.25,14.25
11,Dolní Morava,50.151731,16.832383,1216,50.25,16.75
12,Čerťák,50.619466,14.053252,433,50.5,14.0
13,Zvičina,50.455525,15.69613,671,50.5,15.75
14,Řevničov,50.1866,13.7911,500,50.25,13.75
15,Velký Javorník,49.527259,18.162109,891,49.5,18.25
16,Zásada,50.7048,15.2642,670,50.75,15.25
17,Srbce,49.917093,16.056604,371,50.0,16.0
18,Švihov,49.4937,13.2668,479,49.5,13.25
19,Suchomasty,49.901045,14.061425,406,50.0,14.0
20,Kalovy,49.2327,13.546,710,49.25,13.5
21,Rašovka,50.7085,15.0165,793,50.75,15.0
22,Cukrák,49.9381,14.335,370,50.0,14.25
23,Brná,50.6355,14.0741,450,50.75,14.0
24,Straník,49.2366,18.8251,762,49.25,18.75
25,Donovaly,48.8887,19.2301,1343,49.0,19.25
26,Horná Súča,48.9567,17.9929,551,49.0,18.0
27,Sľubica,48.9734,20.8719,1108,49.0,20.75
28,Martinské hole,49.096634,18.824333,1423,49.0,18.75
29,Orešany,48.4581,17.4125,526,48.5,17.5
30,Velký Lopeník,48.9152,17.7824,872,49.0,17.75
31,Slopovo,48.5947,19.8439,823,48.5,19.75
32,Kubínska hoľa,49.269611,19.253977,1394,49.25,19.25
33,Podkonické Pleše,48.816221,19.242302,950,48.75,19.25
34,Emberger Alm,46.774577,13.149997,1890,46.75,13.25
35,Bischling,47.463011,13.298131,1800,47.5,13.25
36,Schöckl,47.200616,15.473335,1430,47.25,15.5
37,Hohe Wand,47.829378,16.041627,900,47.75,16.0
38,Kössen,47.629469,12.433005,1500,47.75,12.5
39,Gaisberg,47.804123,13.112245,1250,47.75,13.0
40,Gerlitzen,46.689963,13.912319,1900,46.75,14.0
41,Bezau,47.401887,9.941052,1600,47.5,10.0
42,Elfer,47.097015,11.323087,1950,47.0,11.25
43,Kulm,47.228516,15.762128,940,47.25,15.75
44,Schlick 2000,47.145081,11.307597,2100,47.25,11.25
45,Hinterstoder,47.665609,14.17142,1800,47.75,14.25
46,Radsberg,46.572583,14.402389,815,46.5,14.5
47,Ternberg,47.930466,14.329674,1020,48.0,14.25
48,Hensler,47.229209,9.738545,1280,47.25,9.75
49,Gelderkogel,47.303835,15.479189,1130,47.25,15.5
50,Grünberg,47.898419,13.817762,960,48.0,13.75
51,Zwölferhorn,47.742614,13.35201,1500,47.75,13.25
52,Muckenkogel,47.983213,15.603085,1100,48.0,15.5
53,Hohe Salve,47.464715,12.203033,1760,47.5,12.25
54,Schmittenhöhe,47.328614,12.737419,1950,47.25,12.75
55,Stoderzinken,47.458318,13.825853,2000,47.5,13.75
56,Penken,47.17317,11.811676,2020,47.25,11.75
57,Feuerkogel,47.815177,13.720282,1600,47.75,13.75
58,Hirschwaldstein ,47.886547,14.163458,950,48.0,14.25
59,Choralpe,47.419271,12.24455,1800,47.5,12.25
60,Marsbach,48.462906,13.817336,540,48.5,13.75
61,Fulseck,47.235818,13.147096,2000,47.25,13.25
62,Perler,47.216329,11.827935,2000,47.25,11.75
63,Holzbauer,47.397929,15.078611,950,47.5,15.0
64,Zettersfeld,46.874947,12.787877,2200,46.75,12.75
65,Schoberstein,47.904891,14.325222,1240,48.0,14.25
66,Golzentipp,46.720164,12.624254,2010,46.75,12.5
67,Markbachjoch,47.432166,12.093701,1450,47.5,12.0
68,Brauneck,47.663456,11.522737,1535,47.75,11.5
69,Wallberg,47.662291,11.79204,1640,47.75,11.75
70,Hochries,47.747324,12.24873,1530,47.75,12.25
71,Rammelsberg,51.889874,10.430977,600,52.0,10.5
72,Osser,49.204212,13.099105,1165,49.25,13.0
73,Tegelberg,47.559999,10.779847,1600,47.5,10.75
74,Osterfelder,47.442486,11.057146,2050,47.5,11.0
75,Hausstein,48.870952,13.073238,876,48.75,13.0
76,Skrzyczne,49.687826,19.031477,1190,49.75,19.0
77,Żar,49.786692,19.224711,750,49.75,19.25
78,Mieroszów,50.673017,16.20965,610,50.75,16.25
79,Szczebel,49.689508,20.009618,965,49.75,20.0
80,Ciecien,49.772452,20.141149,810,49.75,20.25
81,Andrzejowka,50.692484,16.276526,815,50.75,16.25
82,Fiesch,46.413808,8.106572,2200,46.5,8.0
83,Weissenstein,47.251977,7.513094,1260,47.25,7.5
84,Brunni,46.840941,8.412766,2000,46.75,8.5
85,Amisbühl,46.706364,7.822737,1400,46.75,7.75
86,Grindelwald,46.657618,8.054753,2150,46.75,8.0
87,Marbachegg,46.834819,7.904402,1480,46.75,8.0
88,Cret du Midi,46.229352,7.528498,2330,46.25,7.5
89,Niesen,46.644081,7.648422,2300,46.75,7.75
90,Ebenalp,47.284444,9.410824,1600,47.25,9.5
91,Zugerberg,47.148155,8.535542,950,47.25,8.5
92,Verbier,46.100885,7.22731,2300,46.0,7.25
